Company,Star Rating,Current Employee,Work Duration,Review Title,Date Posted,Job Title,Job Location,Recommend,CEO Approval,Business Outlook,Pros,Cons,Advice to Management
Meta,5.0,1,less than 1 year,Best employer so far,2021-11-09,Software Engineer,"Seattle, WA",2,2,2,"I’m still a bit new, but I have very good impressions so far. I have 10 years exp at 5+ other companies (although no other tech companies) and this is the best by a good margin. 

First off, everyone is nice here! Yes, folks are ambitious, but there is a shockingly small percentage of jerks here… not sure exactly how they are weeded out, but I’m grateful for it!

Lots of small benefits and well-run systems give the overwhelming feeling that this company just generally has its sh*t together. Shuttles, good food, good internal chat and groups system, not too many meetings or emails (much better than other companies!), great tech stack and automation, etc etc. 

Pretty good transparency and communication with leadership (e.g., weekly CEO/CTO Q&As). They are open to feedback and change when needed, without too much unnecessary reorg-ing and pivoting. Good examples recently are moving to annual performance reviews after years of complaints with 6-month cycle, decoupling Oculus and FB accounts, and killing facial recognition. 

Comp is fantastic, and relatively standardized within levels. Engineers don’t have different titles between levels, we’re all just software engineers. This was weird at first, but is a really cool feature that discourages dumb hierarchies. 

Work life balance is totally reasonable in my experience, but might be different on other teams. 

Mark is great, I don’t really understand why folks dislike him externally.","Some risk with new company direction. The metaverse shift is gutsy. It seems like a reasonable move, but if it doesn’t pan out, Meta might not be the same tech giant in 10-15 years. 

Like any big company, it has its share of internal koolaid/propaganda (but criticism/feedback is still welcomed and discussed openly) 

The (largely overblown) negative media coverage can lead to some family and friends judging you a bit for where you work, if you care about that sort of thing.",
Meta,5.0,1,,Great place,2022-02-26,Research Manager,"Miami, FL",2,2,2,Challenging work and great salary,Lots of new people- culture is getting diluted,
Meta,5.0,1,more than 1 year,Visionary and Innovative,2022-02-25,Software Engineer,"New York, NY",2,2,2,The management is efficient and the vision is clear,"It's a big company, so you'll likely be working on a very small piece of the system. Growth opportunities are still there though and as far as Big Tech goes, it's one of the most dynamic",
Meta,5.0,1,more than 3 years,Great company to work for,2022-02-24,Program Manager,"New York, NY",2,2,2,"Amazing company, so many smart, kind people and the work is fast-paced and interesting.","Bad media headlines, but that doesn't distract us from our long term mission.",
Meta,5.0,1,more than 1 year,good,2022-02-24,Data Scientist,"Boston, MA",2,2,2,"good to work , and gives you good experience.",the work load is quite heavy,can improve work culture
Meta,5.0,1,,good,2022-02-22,Data Analyst,"Austin, TX",0,0,0,"great experience
good pay
smart people around","stressful environment
lack of role clarity",
Meta,5.0,1,,Great,2022-02-23,Product Marketing Manager,"Austin, TX",0,0,0,"Culture, People, Management, Amenities, Comp","PR, Visibility, Media Cycles, Competitive",
Meta,5.0,1,,good,2022-02-21,Research Scientist,"Seattle, WA",0,0,0,good company good companygood company,nothing to review good company,nothing
Meta,5.0,0,more than 1 year,Really Awesome Company,2022-02-21,Data Scientist,"Seattle, WA",2,2,2,"+ considerate for each individual
+ cares about employee's personal growth",+Frequent re-org brings in some pressure for new employees.,
Meta,5.0,1,more than 5 years,Great company to work for!!,2022-02-20,Area Chef,"Austin, TX",2,2,2,Work life balance very competitive salary.,Work life balance seems more Work during pandemic,
Meta,5.0,1,,Nice,2022-02-16,Data Engineer Intern,"Menlo Park, CA",0,0,0,"Cool perks, compensation, and mobility.","Work life balance, and public perception",
Meta,5.0,1,more than 3 years,Great place to work,2022-02-16,Community Manager,"Menlo Park, CA",2,2,2,"Open culture, a lot of opportunities accross the company","Processes, as in any big company",
Meta,5.0,1,more than 1 year,"Great company, great benefits, great people",2022-02-16,Software Engineer,"Coeur d'Alene, ID",2,2,2,"Work with some of the brightest and most motivated engineers you will ever meet. 

Great benefits, amazing perks, and a highly inclusive internal culture.","Can be difficult to ""stand out"" among so much talent.",
Meta,5.0,1,,good,2022-02-14,Data Anlysts,"Los Angeles, CA",0,0,0,it is very good indeed,not very bad; some days are stressful,
Meta,5.0,1,more than 1 year,software,2022-02-15,Web Developer,"Los Angeles, CA",0,0,0,good environment and helpful peoples,it can be overwhelming sometimes,
Meta,5.0,1,,Great place and culture,2022-02-15,Account Manager,"Austin, TX",0,0,0,great culture and great base pay,almost too chill of work environment,
Meta,5.0,1,,Great place to work,2022-02-15,Product Design Manager,"Los Angeles, CA",0,0,0,"Community, people, perks, benefits, tools, total comp","Company receives a lot of bad press, much of it misguided",
Meta,5.0,1,more than 5 years,Great comp and benefits,2022-02-15,Post Silicon Validation Engineer,"San Jose, CA",2,2,2,"comp, type of work, empowerment and great benefits","growing too fast, company, teams, orgs,",
Meta,5.0,0,more than 1 year,Good place to work,2022-02-14,Data Scientist,"San Francisco, CA",0,0,0,"Good pay, smart people, challenging work","Bureaucracy, uncertain future for the company",
Meta,3.0,0,more than 3 years,"good pay, bad worklife balance",2022-02-25,Content Strategist,"Menlo Park, CA",-1,1,-1,good overall benefits and easy performance reviews,you have to tell people that you work at facebook,
Meta,5.0,1,,Rating,2022-02-11,Manager,"Detroit, MI",0,0,0,"Great place to work, great community",Not a lot of sharing,
Meta,5.0,0,more than 3 years,Can't ask for a better employer,2022-02-11,Software Engineer,"San Francisco, CA",2,2,1,Helped me grow from a junior engineer to someone that is capable of leading large scale projects.,Your friends and family thinks you know how to fix every bug they see on Facebook.,
Meta,3.0,1,more than 3 years,"Good pay, but barely any fun work",2022-02-25,Software Engineer II,"Menlo Park, CA",2,1,1,Compensation and Benefits are pretty good,Very little autonomy - lots of politics. My job is to make other people who decide my ratings happy in order to get higher bonuses + promotion offers. Engineering work is often not that challenging and there's not much focus time for it,
Meta,5.0,1,,Great,2022-02-09,Engineering Manager,"Palo Alto, CA",0,0,0,Great company to work at.,Not much to share here,
Meta,5.0,0,,Intern,2022-02-10,Intern,"Menlo Park, CA",0,0,0,"great experience, good salary, good place",none none none none none,
Meta,5.0,1,more than 1 year,Great company,2022-02-10,Technical Recruiter,"San Jose, CA",0,0,0,Good benefits and okay culture,No complaints at this time.,
Meta,4.0,0,more than 3 years,Overall Great Experience with Areas of Improvement,2022-02-23,Diversity and Inclusion Manager,"Menlo Park, CA",2,2,2,"Strong culture, even if at times its at odds with each other. Very smart and positive attitudes towards collaboration as a company. Great health benefits and an overall strong desire to ensure teams were happy and had great resources.",Open to feedback is a bonus but can also be weaponized. More executive sponsorship for junior managers would be beneficial,Management should have more training on DEI practices
Meta,4.0,1,,Product Operations as an Entry Point to Tech,2022-02-24,Product Development Specialist,"Washington, DC",2,1,1,"1. Working with product team, engineering and cross functional partners providers good product experience
2. Working within product development lifecycle",1. Operational role that is often overlooked by product teams,Provide better career planning for ICs
Meta,5.0,1,more than 3 years,People Focused,2020-05-24,Engineering Manager,"San Francisco, CA",2,2,2,"Facebook deeply cares about its employees and has built a compelling culture around support and growth. Career growth opportunities are plentiful. If you don't like the team you're on or don't get the support you want from your manger, Facebook empowers you to find new teams or projects. Facebook wants its employees to be invested in their work and to feel connected to its larger mission. If large scale opportunities and growth are important to you, Facebook is a fantastic place to work.",Facebook's culture is demanding and fast paced. The greatest aspect of working at Facebook is that everyone is very motivated and very smart. The problem with this is that they all expect the very same of you. Holding a very high bar for excellence can certainly be demanding so it's important to make sure you're always carefully paying attention to your own personal work/life balance.,
Meta,3.0,1,more than 1 year,Smart ppl but difficult culture,2022-02-23,Client Solutions Manager,"San Francisco, CA",-1,0,0,a lot of smart ppl,leadership teams all sounded the same. Everyone was afraid to give their own opinion to some critical matters. very fake,
Meta,5.0,1,,Good employer,2022-02-09,Penetration Tester,"Boston, MA",0,0,0,Good salary available for this position,The AI needs to be completely revamped and re engineered to be more effective and less inaccurately triggered,
Meta,4.0,1,less than 1 year,"average company, good choice to work at Seattle",2022-02-23,Front End Developer,"Seattle, WA",0,0,0,"competitive salary;
locate at downtown, transportation-friendly;","low work-life-balance
workload is heavier;
inflexible working time",
Meta,5.0,1,,yes,2022-02-08,Programmer,"Los Angeles, CA",-1,-1,1,nice job super good very,bad name mark suckerberg ceo,
